slug,label,description
federal,Federal agency,US federal-government-operated facility
state,State agency,US state-government-operated facility
local-gov,Local government,US county, city, or special district
university-marine-lab,University marine lab,University-operated marine or coastal laboratory
university-institute,University institute,Campus-based research institute or center
nonprofit,Nonprofit,US 501(c)(3) research or conservation organization
foundation,Foundation,Grantmaking foundation
network,Network / consortium,Multi-institution network, consortium, or regional association
international-federal,International federal agency,Non-US national-government agency
international-university,International university,Non-US university or marine laboratory
international-nonprofit,International nonprofit,Non-US NGO
industry,Industry,Private or industry research facility
vessel,Research vessel,Research vessel treated as a mobile facility
observatory,Observatory,Cabled observatory or ocean observing platform
virtual,Virtual,Organization without a single physical headquarters
